title,link,address,deadline,salary
Certificated Substitute Teacher,https://www.edjoin.org/Home/JobPosting/2078207,"Coast Unified - Cambria, San Luis Obispo County, CA",7/1/2025 11:55 am,$180/Day   Daily
2025-26 Art Teacher,https://www.edjoin.org/Home/JobPosting/2077861,"LA Promise Fund/Westbrook Academy - South Gate, Los Angeles County, CA",7/1/2025 11:55 am,"$60,000 - $111,618  Annually"
Teacher - PE at B. Gale WIlson Middle School (4905) (2025/2026) School Year),https://www.edjoin.org/Home/JobPosting/2077619,"Fairfield-Suisun Unified - Fairfield, Solano County, CA",5/2/2025 11:55 am,Pay dependent on experience
"Adult Education Teacher - Basic Education, #140",https://www.edjoin.org/Home/JobPosting/2073094,"Redondo Beach Unified School District - Redondo Beach, Los Angeles County, CA",Until Filled,$48.20 - $64.59  Per Hour
Chemistry Teacher (2025-26 School Year) -$10K Signing Bonus,https://www.edjoin.org/Home/JobPosting/2069761,"Synergy Academies - LOS ANGELES, Los Angeles County, CA",7/1/2025 11:55 am,"$68,850 - $105,790  Annually"
P.E. Teacher - PUC CALS Early College High School,https://www.edjoin.org/Home/JobPosting/2061662,"Partnerships to Uplift Communities (PUC) Schools - Burbank, Los Angeles County, CA",Until Filled,"$65,000 - $115,669   Annually"
Mathematics Teacher #135 - Calaveras High School,https://www.edjoin.org/Home/JobPosting/2027952,"Calaveras Unified School District - Valley Springs, Calaveras County, CA",Until Filled,"$56,355 - $114,528  Annually"
3rd Grade Teacher - Rucker Elementary. TEMP position,https://www.edjoin.org/Home/JobPosting/2077680,"Gilroy Unified - Gilroy, Santa Clara County, CA",Until Filled,Pay dependent on experience
25/26 Certificated 6th Grade Teacher,https://www.edjoin.org/Home/JobPosting/2077631,"Sonora Elementary School District - Sonora, Tuolumne County, CA",Until Filled,"$52,586.00 - $92,215.00  Annually"
Social Studies Teacher,https://www.edjoin.org/Home/JobPosting/2023488,"Aspire Public Schools - San Joaquin County - Stockton, San Joaquin County, CA",Until Filled,"$66,560 - $114,206  Annually"
Math / Science Teacher - Aspire Public Schools - Sacramento,https://www.edjoin.org/Home/JobPosting/1645381,"Aspire Public Schools - Sacramento County - Sacramento, Sacramento County, CA",Until Filled,"$66,560 - $114,206  Annually"
PE Teacher / Head Football Coach Entrepreneur High School - San Bernardino,https://www.edjoin.org/Home/JobPosting/2050850,"REAL Journey Academies (K-12 Public Charter Schools) - Ontario, San Bernardino County, CA",Continuous,61000.00 - 85072.00  Annually
Teacher: 4th/5th Grade Combo - Sequoia Elementary (2025-26),https://www.edjoin.org/Home/JobPosting/2077850,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"$62,695.25 - $109,878.22  Annually"
English Language Development (ELD) Support Teacher,https://www.edjoin.org/Home/JobPosting/1986255,"Aspire Public Schools - Sacramento County - Sacramento, Sacramento County, CA",Until Filled,"$66,560 - $117,632  Annually"
"Art Teacher - Aspire Public Schools, Sacramento",https://www.edjoin.org/Home/JobPosting/2023481,"Aspire Public Schools - Sacramento County - Sacramento, Sacramento County, CA",Until Filled,"$66,560 - $114,245  Annually"
Education Specialist Teacher (RSP),https://www.edjoin.org/Home/JobPosting/2077904,"San Lorenzo Valley Unified - Ben Lomond, Santa Cruz County, CA",6/30/2025 11:30 pm,"$59,739 - $115,555  Annually"
Middle School Humanities Teacher - Aspire Public Schools - Modesto,https://www.edjoin.org/Home/JobPosting/2023480,"Aspire Public Schools - Stanislaus County - Modesto, Stanislaus County, CA",Until Filled,Pay dependent on experience
"Teacher Eligibility Pool: Single Subject Science, Chemistry (2025-26)",https://www.edjoin.org/Home/JobPosting/1517408,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Math, Algebra - Coliseum College Prep Academy Middle-High School (2025-26)",https://www.edjoin.org/Home/JobPosting/2064915,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Special Education, Science Mild/Moderate SDC - Fremont High School (2025-26)",https://www.edjoin.org/Home/JobPosting/2064949,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Social Science, 6th & 7th Grades - Coliseum College Prep Academy Middle-High School (2025-26)",https://www.edjoin.org/Home/JobPosting/2056959,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Special Education, Mild/Moderate RSP - Oakland High School (2025-26)",https://www.edjoin.org/Home/JobPosting/2062909,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Special Education, SDC M/M, K-2 - Manzanita Community (2024-25)",https://www.edjoin.org/Home/JobPosting/2055530,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Transitional Kindergarten and Elementary School Classroom Teacher,https://www.edjoin.org/Home/JobPosting/2078093,"Goethe International Charter School - Los Angeles, Los Angeles County, CA",Until Filled,Pay dependent on experience
"Teacher, Temporary: Special Education, Preschool Moderate/Extensive SDC - Harriet Tubman Early Childhood Education (2025-26)",https://www.edjoin.org/Home/JobPosting/2075606,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Special Education, Mild/Moderate RSP - West Oakland Middle School (2025-26)",https://www.edjoin.org/Home/JobPosting/2075798,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"62,695.65 - $109,878.22  Annually"
Teacher: Math - Life Academy Middle-High School (2025-26),https://www.edjoin.org/Home/JobPosting/2065614,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Adapted Physical Education Teacher (APE),https://www.edjoin.org/Home/JobPosting/2078165,"Cross Country Education - , Los Angeles County, CA",6/26/2025 11:55 am,$46 - $52  Per Hour
"2025-26 Enrichment Teacher: Art (Part-Time, Hourly) at Sycamore Valley Academy",https://www.edjoin.org/Home/JobPosting/2078192,"The Academies CMO (Sycamore Valley Academy, Blue Oak Academy) - Visalia, Tulare County, CA",5/10/2025 11:55 am,22.65 - 44.02  Per Hour
2025-2026 3rd Grade Teacher- Westfield Village Elementary,https://www.edjoin.org/Home/JobPosting/2078106,"Washington Unified School District - W.Sac - West Sacramento, Yolo County, CA",5/10/2025 04:00 am,"$49,968 - $113,715  Annually"
